IdVenta,SKU,Documento_Identidad,FechaVenta,Departamento,Provincia,Distrito,Zona_Logistica,Nombre_Sucursal,Nombre_Promo,Descripcion,Cantidad,Monto_Bruto,Monto_Descuento,Es_Evento
24,KEY-HYP-ALL,10293847,2025-06-16,Arequipa,Arequipa,Cayma,Sur,Tienda Fisica CC Jockey Plaza,Descuento Black Friday,Plin,6,2340,468.0,1
25,MOU-LOG-G5,49586712,2023-02-13,Lima,Lima,Miraflores,Lima,Tienda Fisica CC Jockey Plaza,Campana Cyber Wow Mayo,Tarjeta Credito,6,1680,252.0,1
26,KEY-HYP-ALL,70615243,2024-04-13,Arequipa,Arequipa,Cayma,Sur,Tienda Fisica CC Jockey Plaza,Sin Promocion / Precio Regular,Tarjeta Credito,1,390,0.0,0
27,LAP-OFF-02,71234567,2024-07-24,Cajamarca,Cajamarca,Cajamarca,Centro,Tienda Fisica Real Plaza Arequipa,Sin Promocion / Precio Regular,Efectivo,4,10000,0.0,0
28,AUD-SNY-WH,49586712,2024-05-12,Arequipa,Arequipa,Cayma,Sur,Tienda Fisica CC Jockey Plaza,Campana Back to School,Efectivo,8,7600,760.0,1
29,MNT-GMR-27,10293847,2025-05-17,Arequipa,Arequipa,Cayma,Sur,Plataforma Web Nacional,Sin Promocion / Precio Regular,Plin,6,5700,0.0,0
30,GPU-RTX-40,49586712,2024-11-25,Cajamarca,Cajamarca,Cajamarca,Centro,Plataforma Web Nacional,Sin Promocion / Precio Regular,Tarjeta Credito,7,12950,0.0,0
31,LAP-OFF-02,76543210,2025-05-14,Arequipa,Arequipa,Cayma,Sur,Tienda Fisica CC Jockey Plaza,Campana Back to School,Plin,3,7500,750.0,1
32,LAP-MAC-03,41253698,2023-07-20,Piura,Piura,Castilla,Norte,Tienda Fisica CC Jockey Plaza,Sin Promocion / Precio Regular,Plin,9,45900,0.0,0
33,LAP-GMR-01,55667788,2025-04-12,Lambayeque,Chiclayo,Pimentel,Norte,Plataforma Web Nacional,Sin Promocion / Precio Regular,Tarjeta Debito,3,12600,0.0,0
34,MNT-GMR-27,49586712,2023-01-05,Arequipa,Arequipa,Cayma,Sur,Tienda Fisica Mall Aventura Trujillo,Sin Promocion / Precio Regular,Tarjeta Debito,7,6650,0.0,0
35,GPU-RTX-40,41253698,2025-09-23,Puno,Puno,Puno,Sur,Tienda Fisica Mall Aventura Trujillo,Descuento Black Friday,Plin,9,16650,3330.0,1
36,LAP-MAC-03,76543210,2023-05-05,La Libertad,Trujillo,Victor Larco Herrera,Norte,Tienda Fisica CC Jockey Plaza,Sin Promocion / Precio Regular,Efectivo,9,45900,0.0,0
37,RAM-16G-01,71234567,2023-04-27,Lima,Lima,San Isidro,Lima,Tienda Fisica Mall Aventura Trujillo,Campana Back to School,Efectivo,3,630,63.0,1
38,MOU-LOG-G5,45321678,2024-04-26,Cajamarca,Cajamarca,Cajamarca,Centro,Tienda Fisica CC Jockey Plaza,Sin Promocion / Precio Regular,Efectivo,2,560,0.0,0
39,GPU-RTX-40,45321678,2023-06-17,Puno,Puno,Puno,Sur,Tienda Fisica CC Jockey Plaza,Campana Back to School,Efectivo,1,1850,185.0,1
40,GPU-RTX-40,55667788,2024-05-03,Ica,Ica,Parcona,Centro,Tienda Fisica Real Plaza Arequipa,Descuento Black Friday,Tarjeta Debito,6,11100,2220.0,1
41,SSD-2TB-02,10293847,2023-01-20,Lima,Lima,Los Olivos,Lima,Tienda Fisica Real Plaza Arequipa,Cupon Gamer Extremo,Yape,2,1360,136.0,1
42,MNT-GMR-27,44332211,2025-11-02,Ica,Ica,Parcona,Centro,Plataforma Web Nacional,Sin Promocion / Precio Regular,Efectivo,4,3800,0.0,0
43,SSD-2TB-02,09876543,2024-08-06,Puno,Puno,Puno,Sur,Tienda Fisica Real Plaza Arequipa,Sin Promocion / Precio Regular,Tarjeta Debito,6,4080,0.0,0
44,LAP-MAC-03,49586712,2024-09-05,Cajamarca,Cajamarca,Cajamarca,Centro,Tienda Fisica Real Plaza Arequipa,Campana Back to School,Efectivo,1,5100,510.0,1
45,AUD-SNY-WH,45321678,2023-11-15,Puno,Puno,Puno,Sur,Tienda Fisica CC Jockey Plaza,Descuento Black Friday,Tarjeta Credito,2,1900,380.0,1
46,SSD-2TB-02,41253698,2025-11-01,Ica,Ica,Parcona,Centro,Tienda Fisica CC Jockey Plaza,Descuento Black Friday,Tarjeta Debito,5,3400,680.0,1
47,MNT-GMR-27,41253698,2023-04-01,Puno,Puno,Puno,Sur,Plataforma Web Nacional,Sin Promocion / Precio Regular,Plin,5,4750,0.0,0
48,LAP-GMR-01,73418529,2025-05-25,Lima,Lima,Ate,Lima,Tienda Fisica CC Jockey Plaza,Descuento Black Friday,Tarjeta Debito,8,33600,6720.0,1
49,MOU-LOG-G5,71234567,2025-01-26,Lima,Lima,Miraflores,Lima,Plataforma Web Nacional,Campana Cyber Wow Mayo,Efectivo,1,280,42.0,1
50,KEY-HYP-ALL,70615243,2025-01-16,Lima,Lima,Los Olivos,Lima,Tienda Fisica Mall Aventura Trujillo,Campana Cyber Wow Mayo,Tarjeta Credito,5,1950,292.5,1
51,LAP-GMR-01,73418529,2025-04-12,Arequipa,Arequipa,Cayma,Sur,Tienda Fisica CC Jockey Plaza,Sin Promocion / Precio Regular,Yape,9,37800,0.0,0
52,KEY-HYP-ALL,09876543,2023-02-20,Puno,Puno,Puno,Sur,Tienda Fisica CC Jockey Plaza,Campana Cyber Wow Mayo,Tarjeta Debito,7,2730,409.5,1
53,LAP-MAC-03,73418529,2023-08-10,Lima,Lima,Ate,Lima,Tienda Fisica Mall Aventura Trujillo,Campana Cyber Wow Mayo,Yape,3,15300,2295.0,1
54,GPU-RTX-40,71234567,2024-12-17,Cajamarca,Cajamarca,Cajamarca,Centro,Tienda Fisica Mall Aventura Trujillo,Campana Cyber Wow Mayo,Tarjeta Debito,8,14800,2220.0,1
55,SSD-2TB-02,76543210,2024-07-24,Arequipa,Arequipa,Cayma,Sur,Plataforma Web Nacional,Campana Cyber Wow Mayo,Plin,6,4080,612.0,1
56,LAP-OFF-02,41253698,2023-08-25,Junin,Huancayo,El Tambo,Centro,Tienda Fisica Mall Aventura Trujillo,Campana Back to School,Yape,1,2500,250.0,1
57,SSD-2TB-02,09876543,2025-06-08,Ica,Ica,Parcona,Centro,Tienda Fisica Real Plaza Arequipa,Sin Promocion / Precio Regular,Tarjeta Credito,10,6800,0.0,0
58,RAM-16G-01,73418529,2024-06-05,Cusco,Cusco,Wanchaq,Sur,Plataforma Web Nacional,Cupon Gamer Extremo,Efectivo,4,840,84.0,1
59,LAP-GMR-01,10293847,2024-11-07,Lima,Lima,San Isidro,Lima,Tienda Fisica CC Jockey Plaza,Descuento Black Friday,Plin,2,8400,1680.0,1
60,KEY-HYP-ALL,73418529,2025-04-16,Ancash,Huaraz,Independencia,Centro,Plataforma Web Nacional,Descuento Black Friday,Efectivo,5,1950,390.0,1
61,RAM-16G-01,10293847,2025-05-11,Lima,Lima,San Martin de Porres,Lima,Tienda Fisica Real Plaza Arequipa,Campana Back to School,Tarjeta Debito,4,840,84.0,1
62,AUD-SNY-WH,10293847,2025-04-11,Ancash,Huaraz,Independencia,Centro,Tienda Fisica CC Jockey Plaza,Campana Back to School,Efectivo,5,4750,475.0,1
63,MOU-LOG-G5,71234567,2024-10-21,La Libertad,Trujillo,Victor Larco Herrera,Norte,Tienda Fisica Real Plaza Arequipa,Campana Cyber Wow Mayo,Plin,10,2800,420.0,1
64,MNT-GMR-27,49586712,2023-06-23,Piura,Piura,Castilla,Norte,Tienda Fisica CC Jockey Plaza,Campana Back to School,Plin,3,2850,285.0,1
65,SSD-2TB-02,70615243,2024-04-05,Ancash,Huaraz,Independencia,Centro,Tienda Fisica Real Plaza Arequipa,Sin Promocion / Precio Regular,Tarjeta Debito,5,3400,0.0,0
66,SSD-1TB-01,09876543,2023-05-30,Lima,Lima,San Isidro,Lima,Plataforma Web Nacional,Campana Cyber Wow Mayo,Plin,10,3200,480.0,1
67,MNT-GMR-27,10293847,2024-05-14,Puno,Puno,Puno,Sur,Tienda Fisica CC Jockey Plaza,Cupon Gamer Extremo,Plin,7,6650,665.0,1
68,LAP-MAC-03,55667788,2023-12-27,Lima,Lima,San Martin de Porres,Lima,Plataforma Web Nacional,Sin Promocion / Precio Regular,Plin,4,20400,0.0,0
69,MOU-LOG-G5,49586712,2025-08-09,Lima,Lima,San Isidro,Lima,Tienda Fisica CC Jockey Plaza,Sin Promocion / Precio Regular,Plin,3,840,0.0,0
70,AUD-SNY-WH,70615243,2025-05-23,Lambayeque,Chiclayo,Pimentel,Norte,Tienda Fisica Real Plaza Arequipa,Cupon Gamer Extremo,Efectivo,9,8550,855.0,1
71,MOU-LOG-G5,49586712,2024-05-21,Puno,Puno,Puno,Sur,Tienda Fisica CC Jockey Plaza,Cupon Gamer Extremo,Plin,5,1400,140.0,1
72,AUD-SNY-WH,41253698,2023-06-08,Lima,Lima,Ate,Lima,Tienda Fisica Mall Aventura Trujillo,Campana Cyber Wow Mayo,Yape,8,7600,1140.0,1
73,SSD-2TB-02,76543210,2023-10-11,La Libertad,Trujillo,Victor Larco Herrera,Norte,Tienda Fisica Real Plaza Arequipa,Descuento Black Friday,Efectivo,2,1360,272.0,1
74,LAP-MAC-03,76543210,2025-04-14,Cusco,Cusco,Wanchaq,Sur,Tienda Fisica CC Jockey Plaza,Campana Cyber Wow Mayo,Tarjeta Credito,7,35700,5355.0,1
75,RAM-16G-01,70615243,2025-03-08,Piura,Piura,Castilla,Norte,Tienda Fisica Mall Aventura Trujillo,Sin Promocion / Precio Regular,Tarjeta Debito,7,1470,0.0,0
76,KEY-HYP-ALL,71234567,2024-09-03,Cajamarca,Cajamarca,Cajamarca,Centro,Tienda Fisica Mall Aventura Trujillo,Cupon Gamer Extremo,Tarjeta Credito,6,2340,234.0,1
77,GPU-RTX-40,10293847,2025-06-11,Lambayeque,Chiclayo,Pimentel,Norte,Tienda Fisica CC Jockey Plaza,Cupon Gamer Extremo,Tarjeta Debito,5,9250,925.0,1
78,MNT-GMR-27,71234567,2023-09-19,Cusco,Cusco,Wanchaq,Sur,Tienda Fisica Real Plaza Arequipa,Cupon Gamer Extremo,Tarjeta Debito,8,7600,760.0,1
79,KEY-HYP-ALL,70615243,2023-06-21,Lima,Lima,San Isidro,Lima,Tienda Fisica Mall Aventura Trujillo,Campana Back to School,Efectivo,1,390,39.0,1
80,AUD-SNY-WH,10293847,2025-02-15,Lima,Lima,Los Olivos,Lima,Tienda Fisica Mall Aventura Trujillo,Campana Cyber Wow Mayo,Tarjeta Credito,5,4750,712.5,1
81,RAM-16G-01,76543210,2025-05-13,Piura,Piura,Castilla,Norte,Tienda Fisica Real Plaza Arequipa,Descuento Black Friday,Plin,5,1050,210.0,1
82,SSD-2TB-02,45321678,2024-04-04,Piura,Piura,Castilla,Norte,Plataforma Web Nacional,Campana Back to School,Tarjeta Credito,6,4080,408.0,1
83,AUD-SNY-WH,45321678,2023-02-11,Lima,Lima,Ate,Lima,Plataforma Web Nacional,Sin Promocion / Precio Regular,Tarjeta Debito,4,3800,0.0,0
84,KEY-HYP-ALL,09876543,2024-03-22,Arequipa,Arequipa,Cayma,Sur,Tienda Fisica CC Jockey Plaza,Cupon Gamer Extremo,Tarjeta Credito,10,3900,390.0,1
85,MNT-GMR-27,41253698,2023-08-23,Lima,Lima,Ate,Lima,Tienda Fisica Real Plaza Arequipa,Campana Cyber Wow Mayo,Efectivo,10,9500,1425.0,1
86,LAP-MAC-03,41253698,2025-03-23,Lima,Lima,Miraflores,Lima,Plataforma Web Nacional,Descuento Black Friday,Efectivo,7,35700,7140.0,1
87,SSD-1TB-01,45321678,2023-09-05,Ica,Ica,Parcona,Centro,Tienda Fisica CC Jockey Plaza,Sin Promocion / Precio Regular,Yape,10,3200,0.0,0
88,KEY-HYP-ALL,71234567,2024-11-29,Junin,Huancayo,El Tambo,Centro,Tienda Fisica Mall Aventura Trujillo,Descuento Black Friday,Tarjeta Credito,9,3510,702.0,1
89,LAP-GMR-01,10293847,2025-07-30,Cajamarca,Cajamarca,Cajamarca,Centro,Tienda Fisica Mall Aventura Trujillo,Sin Promocion / Precio Regular,Plin,6,25200,0.0,0
90,LAP-MAC-03,10293847,2025-08-10,Lima,Lima,Los Olivos,Lima,Tienda Fisica Real Plaza Arequipa,Campana Back to School,Efectivo,8,40800,4080.0,1
91,GPU-RTX-40,44332211,2025-07-12,La Libertad,Trujillo,Victor Larco Herrera,Norte,Tienda Fisica Real Plaza Arequipa,Campana Cyber Wow Mayo,Tarjeta Credito,5,9250,1387.5,1
92,SSD-1TB-01,49586712,2024-10-27,Ica,Ica,Parcona,Centro,Tienda Fisica Mall Aventura Trujillo,Descuento Black Friday,Tarjeta Credito,8,2560,512.0,1
93,LAP-MAC-03,49586712,2024-07-19,Arequipa,Arequipa,Cayma,Sur,Tienda Fisica Real Plaza Arequipa,Descuento Black Friday,Yape,5,25500,5100.0,1
94,MOU-LOG-G5,71234567,2025-09-27,Lambayeque,Chiclayo,Pimentel,Norte,Tienda Fisica CC Jockey Plaza,Sin Promocion / Precio Regular,Tarjeta Debito,7,1960,0.0,0
95,MOU-LOG-G5,76543210,2023-07-10,Lima,Lima,San Martin de Porres,Lima,Tienda Fisica Mall Aventura Trujillo,Cupon Gamer Extremo,Plin,1,280,28.0,1
96,SSD-2TB-02,76543210,2025-08-27,Cusco,Cusco,Wanchaq,Sur,Tienda Fisica CC Jockey Plaza,Descuento Black Friday,Efectivo,6,4080,816.0,1
97,MOU-LOG-G5,70615243,2025-07-18,Junin,Huancayo,El Tambo,Centro,Tienda Fisica Mall Aventura Trujillo,Campana Back to School,Yape,6,1680,168.0,1
98,SSD-2TB-02,41253698,2023-09-02,La Libertad,Trujillo,Victor Larco Herrera,Norte,Tienda Fisica CC Jockey Plaza,Sin Promocion / Precio Regular,Tarjeta Debito,6,4080,0.0,0
99,MOU-LOG-G5,09876543,2025-12-10,Arequipa,Arequipa,Cayma,Sur,Tienda Fisica CC Jockey Plaza,Cupon Gamer Extremo,Yape,10,2800,280.0,1
100,KEY-HYP-ALL,41253698,2024-01-03,Lima,Lima,Miraflores,Lima,Tienda Fisica CC Jockey Plaza,Descuento Black Friday,Tarjeta Debito,6,2340,468.0,1
101,SSD-2TB-02,71234567,2024-08-21,Lima,Lima,San Martin de Porres,Lima,Tienda Fisica CC Jockey Plaza,Descuento Black Friday,Tarjeta Credito,1,680,136.0,1
102,LAP-MAC-03,55667788,2024-08-05,Cajamarca,Cajamarca,Cajamarca,Centro,Tienda Fisica Mall Aventura Trujillo,Sin Promocion / Precio Regular,Tarjeta Credito,10,51000,0.0,0
103,MNT-GMR-27,49586712,2025-09-05,Piura,Piura,Castilla,Norte,Tienda Fisica Real Plaza Arequipa,Campana Cyber Wow Mayo,Tarjeta Credito,5,4750,712.5,1
104,LAP-OFF-02,45321678,2023-11-07,Cusco,Cusco,Wanchaq,Sur,Tienda Fisica Mall Aventura Trujillo,Sin Promocion / Precio Regular,Efectivo,1,2500,0.0,0
105,LAP-MAC-03,44332211,2025-05-02,La Libertad,Trujillo,Victor Larco Herrera,Norte,Plataforma Web Nacional,Campana Cyber Wow Mayo,Tarjeta Credito,9,45900,6885.0,1
106,KEY-HYP-ALL,44332211,2025-06-25,Lima,Lima,Ate,Lima,Tienda Fisica CC Jockey Plaza,Campana Back to School,Plin,8,3120,312.0,1
107,SSD-2TB-02,44332211,2023-07-23,Cusco,Cusco,Wanchaq,Sur,Tienda Fisica Real Plaza Arequipa,Campana Back to School,Efectivo,1,680,68.0,1
108,SSD-1TB-01,55667788,2023-12-22,Arequipa,Arequipa,Cayma,Sur,Tienda Fisica Real Plaza Arequipa,Sin Promocion / Precio Regular,Tarjeta Debito,4,1280,0.0,0
109,MOU-LOG-G5,45321678,2025-08-20,Lima,Lima,Los Olivos,Lima,Plataforma Web Nacional,Cupon Gamer Extremo,Plin,10,2800,280.0,1
110,SSD-2TB-02,71234567,2024-04-23,Arequipa,Arequipa,Cayma,Sur,Tienda Fisica Real Plaza Arequipa,Descuento Black Friday,Plin,2,1360,272.0,1
111,SSD-2TB-02,55667788,2024-04-05,Ica,Ica,Parcona,Centro,Tienda Fisica CC Jockey Plaza,Cupon Gamer Extremo,Tarjeta Credito,9,6120,612.0,1
112,AUD-SNY-WH,09876543,2023-12-06,Puno,Puno,Puno,Sur,Tienda Fisica Real Plaza Arequipa,Campana Cyber Wow Mayo,Tarjeta Credito,1,950,142.5,1
113,SSD-2TB-02,44332211,2024-09-14,Lima,Lima,San Martin de Porres,Lima,Tienda Fisica Real Plaza Arequipa,Cupon Gamer Extremo,Tarjeta Credito,8,5440,544.0,1
114,GPU-RTX-40,41253698,2023-03-23,Lambayeque,Chiclayo,Pimentel,Norte,Tienda Fisica Mall Aventura Trujillo,Cupon Gamer Extremo,Tarjeta Credito,10,18500,1850.0,1
115,GPU-RTX-40,73418529,2023-02-12,Ica,Ica,Parcona,Centro,Tienda Fisica Real Plaza Arequipa,Sin Promocion / Precio Regular,Tarjeta Credito,4,7400,0.0,0
116,AUD-SNY-WH,41253698,2025-06-24,Ica,Ica,Parcona,Centro,Plataforma Web Nacional,Campana Cyber Wow Mayo,Plin,9,8550,1282.5,1
117,SSD-2TB-02,09876543,2024-12-13,Ica,Ica,Parcona,Centro,Tienda Fisica Mall Aventura Trujillo,Cupon Gamer Extremo,Tarjeta Credito,8,5440,544.0,1
118,GPU-RTX-40,73418529,2025-10-11,Junin,Huancayo,El Tambo,Centro,Plataforma Web Nacional,Campana Cyber Wow Mayo,Yape,7,12950,1942.5,1
119,SSD-2TB-02,55667788,2024-05-31,Cusco,Cusco,Wanchaq,Sur,Plataforma Web Nacional,Cupon Gamer Extremo,Tarjeta Credito,6,4080,408.0,1
120,RAM-16G-01,45321678,2025-08-04,Lima,Lima,Ate,Lima,Tienda Fisica Mall Aventura Trujillo,Campana Back to School,Tarjeta Credito,9,1890,189.0,1
121,GPU-RTX-40,71234567,2023-04-16,Arequipa,Arequipa,Cayma,Sur,Tienda Fisica Real Plaza Arequipa,Campana Back to School,Plin,8,14800,1480.0,1
122,SSD-1TB-01,41253698,2023-09-06,Lambayeque,Chiclayo,Pimentel,Norte,Tienda Fisica CC Jockey Plaza,Descuento Black Friday,Plin,8,2560,512.0,1
123,LAP-GMR-01,55667788,2023-01-29,Ica,Ica,Parcona,Centro,Tienda Fisica CC Jockey Plaza,Campana Cyber Wow Mayo,Yape,9,37800,5670.0,1
124,MOU-LOG-G5,10293847,2023-11-12,Lima,Lima,Miraflores,Lima,Tienda Fisica CC Jockey Plaza,Sin Promocion / Precio Regular,Plin,2,560,0.0,0
125,MNT-GMR-27,41253698,2024-05-14,Lambayeque,Chiclayo,Pimentel,Norte,Tienda Fisica Real Plaza Arequipa,Cupon Gamer Extremo,Plin,8,7600,760.0,1
126,MNT-GMR-27,70615243,2023-10-07,Lima,Lima,Los Olivos,Lima,Tienda Fisica Mall Aventura Trujillo,Campana Cyber Wow Mayo,Efectivo,9,8550,1282.5,1
127,LAP-OFF-02,41253698,2023-01-06,Lima,Lima,Ate,Lima,Tienda Fisica Mall Aventura Trujillo,Descuento Black Friday,Efectivo,5,12500,2500.0,1
128,SSD-2TB-02,41253698,2025-09-18,Cajamarca,Cajamarca,Cajamarca,Centro,Tienda Fisica Mall Aventura Trujillo,Campana Cyber Wow Mayo,Plin,9,6120,918.0,1
129,RAM-16G-01,73418529,2024-05-04,Lambayeque,Chiclayo,Pimentel,Norte,Tienda Fisica Mall Aventura Trujillo,Cupon Gamer Extremo,Yape,4,840,84.0,1
130,KEY-HYP-ALL,10293847,2025-02-19,Arequipa,Arequipa,Cayma,Sur,Tienda Fisica Mall Aventura Trujillo,Sin Promocion / Precio Regular,Yape,8,3120,0.0,0
131,GPU-RTX-40,55667788,2025-10-25,Lima,Lima,Ate,Lima,Tienda Fisica CC Jockey Plaza,Cupon Gamer Extremo,Tarjeta Credito,3,5550,555.0,1
132,KEY-HYP-ALL,73418529,2025-07-24,Cajamarca,Cajamarca,Cajamarca,Centro,Plataforma Web Nacional,Cupon Gamer Extremo,Tarjeta Credito,9,3510,351.0,1
133,LAP-GMR-01,09876543,2024-11-24,Cusco,Cusco,Wanchaq,Sur,Tienda Fisica CC Jockey Plaza,Sin Promocion / Precio Regular,Plin,5,21000,0.0,0
134,KEY-HYP-ALL,10293847,2024-10-10,Ancash,Huaraz,Independencia,Centro,Plataforma Web Nacional,Descuento Black Friday,Efectivo,7,2730,546.0,1
135,AUD-SNY-WH,49586712,2024-08-11,Cajamarca,Cajamarca,Cajamarca,Centro,Plataforma Web Nacional,Campana Back to School,Tarjeta Credito,4,3800,380.0,1
136,SSD-1TB-01,45321678,2024-09-05,Cusco,Cusco,Wanchaq,Sur,Plataforma Web Nacional,Sin Promocion / Precio Regular,Plin,3,960,0.0,0
137,LAP-GMR-01,71234567,2025-06-01,Junin,Huancayo,El Tambo,Centro,Plataforma Web Nacional,Descuento Black Friday,Yape,6,25200,5040.0,1
138,LAP-MAC-03,76543210,2023-12-25,Lambayeque,Chiclayo,Pimentel,Norte,Tienda Fisica Mall Aventura Trujillo,Campana Back to School,Tarjeta Debito,3,15300,1530.0,1
139,LAP-OFF-02,44332211,2023-10-21,Cajamarca,Cajamarca,Cajamarca,Centro,Tienda Fisica Mall Aventura Trujillo,Campana Back to School,Tarjeta Debito,8,20000,2000.0,1
140,SSD-1TB-01,49586712,2025-08-10,Ancash,Huaraz,Independencia,Centro,Tienda Fisica Real Plaza Arequipa,Cupon Gamer Extremo,Yape,1,320,32.0,1
141,SSD-2TB-02,55667788,2024-09-04,Lambayeque,Chiclayo,Pimentel,Norte,Tienda Fisica CC Jockey Plaza,Sin Promocion / Precio Regular,Plin,6,4080,0.0,0
142,AUD-SNY-WH,10293847,2025-02-26,Lima,Lima,San Martin de Porres,Lima,Tienda Fisica Real Plaza Arequipa,Cupon Gamer Extremo,Yape,4,3800,380.0,1
143,MNT-GMR-27,45321678,2024-08-28,Arequipa,Arequipa,Cayma,Sur,Tienda Fisica Mall Aventura Trujillo,Campana Back to School,Yape,10,9500,950.0,1
144,SSD-2TB-02,71234567,2023-04-11,Cajamarca,Cajamarca,Cajamarca,Centro,Tienda Fisica Mall Aventura Trujillo,Descuento Black Friday,Tarjeta Credito,10,6800,1360.0,1
145,KEY-HYP-ALL,49586712,2024-03-24,Cajamarca,Cajamarca,Cajamarca,Centro,Tienda Fisica Real Plaza Arequipa,Campana Cyber Wow Mayo,Efectivo,6,2340,351.0,1
146,AUD-SNY-WH,76543210,2024-09-24,Ica,Ica,Parcona,Centro,Tienda Fisica Real Plaza Arequipa,Campana Cyber Wow Mayo,Tarjeta Credito,1,950,142.5,1
147,MNT-GMR-27,71234567,2024-10-31,Ica,Ica,Parcona,Centro,Tienda Fisica Real Plaza Arequipa,Campana Cyber Wow Mayo,Tarjeta Credito,5,4750,712.5,1
148,GPU-RTX-40,09876543,2025-10-24,Arequipa,Arequipa,Cayma,Sur,Tienda Fisica CC Jockey Plaza,Campana Back to School,Yape,9,16650,1665.0,1
149,SSD-2TB-02,09876543,2025-08-17,La Libertad,Trujillo,Victor Larco Herrera,Norte,Tienda Fisica Mall Aventura Trujillo,Descuento Black Friday,Yape,2,1360,272.0,1
